9 To 5,,9 To 5,Music Theatre International,/media/downloads/SF_9To5-r5966-1_57E.exe,/media/downloads/SF_9To5-r5966-1_57E.zip,
Aida,Original,Aida,Music Theatre International,/media/downloads/SF_Aida-r5966-2_75E.exe,/media/downloads/SF_Aida-r5966-2_75E.zip,
Annie,,Annie,Music Theatre International,/media/downloads/SF_Annie-r5966-5_8E.exe,/media/downloads/SF_Annie-r5966-5_8E.zip,
Annie Get Your Gun,Peter Stone Version,Annie Get Your Gun (Stone version),Rodgers & Hammerstein,/media/downloads/SF_AGYG_Stone-r5966-1_6E.exe,/media/downloads/SF_AGYG_Stone-r5966-1_6E.zip,
Beauty And The Beast,Large Orchestration,Beauty & The Beast (Large Orch),Music Theatre International,/media/downloads/SF_BATB-r5966-3_1E.exe,/media/downloads/SF_BATB-r5966-3_1E.zip,
Big River,,Big River,Rodgers & Hammerstein,/media/downloads/SF_Big_River-r5966-1_37E.exe,/media/downloads/SF_Big_River-r5966-1_37E.zip,
Bring It On,,Bring It On,Music Theatre International,/media/downloads/SF_BringItOn-r5966-1_22E.exe,/media/downloads/SF_BringItOn-r5966-1_22E.zip,
Carousel,,Carousel,Rodgers & Hammerstein,/media/downloads/SF_Carousel-r5966-1_85E.exe,/media/downloads/SF_Carousel-r5966-1_85E.zip,
Cats,16 piece,Cats,Rodgers & Hammerstein,/media/downloads/SF_Cats-r5966-2_6E.exe,/media/downloads/SF_Cats-r5966-2_6E.zip,
A Christmas Carol,,A Christmas Carol,Music Theatre International,/media/downloads/SF_ChristmasCarol-r5966-5_47E.exe,/media/downloads/SF_ChristmasCarol-r5966-5_47E.zip,
Cinderella,Original Version,Cinderella (1957 Original),Rodgers & Hammerstein,/media/downloads/SF_Cind_orig-r5966-1_78E.exe,/media/downloads/SF_Cind_orig-r5966-1_78E.zip,
Cinderella,Enchanted Edition,Cinderella (1997 Enchanted),Rodgers & Hammerstein,/media/downloads/SF_Cind_ench-r5966-1_63E.exe,/media/downloads/SF_Cind_ench-r5966-1_63E.zip,
Damn Yankees,,Damn Yankees,Music Theatre International,/media/downloads/SF_DamnYankees-r5966-3_5E.exe,/media/downloads/SF_DamnYankees-r5966-3_5E.zip,
The Drowsy Chaperone,,The Drowsy Chaperone,Music Theatre International,/media/downloads/SF_Drowsy-r5966-1_65E.exe,/media/downloads/SF_Drowsy-r5966-1_65E.zip,
Evita,,Evita,Rodgers & Hammerstein,/media/downloads/SF_Evita-r5966-2_9E.exe,/media/downloads/SF_Evita-r5966-2_9E.zip,
Fiddler On The Roof,,Fiddler On The Roof,Music Theatre International,/media/downloads/SF_Fiddler-r5966-5_69E.exe,/media/downloads/SF_Fiddler-r5966-5_69E.zip,
Footloose,,Footloose,Rodgers & Hammerstein,/media/downloads/SF_Footloose-r5966-1_57E.exe,/media/downloads/SF_Footloose-r5966-1_57E.zip,
A Funny Thing Happened On The Way To The Forum,,A Funny Thing...Forum,Music Theatre International,/media/downloads/SF_Forum-r5966-5_47E.exe,/media/downloads/SF_Forum-r5966-5_47E.zip,
Guys & Dolls,,Guys & Dolls,Music Theatre International,/media/downloads/SF_GuysDolls-r5966-6_69E.exe,/media/downloads/SF_GuysDolls-r5966-6_69E.zip,
Hairspray,,Hairspray,Music Theatre International,/media/downloads/SF_Hairspray-r5966-1_9E.exe,/media/downloads/SF_Hairspray-r5966-1_9E.zip,
High School Musical,,High School Musical,Music Theatre International,/media/downloads/SF_HSMusical-r5966-1_66E.exe,/media/downloads/SF_HSMusical-r5966-1_66E.zip,
How To Succeed In Business Without Really Trying,,How To Succeed,Music Theatre International,/media/downloads/SF_HowToSucceed-r5966-1_1E.exe,/media/downloads/SF_HowToSucceed-r5966-1_1E.zip,
In The Heights,Broadway Orchestration,In The Heights (Broadway),Rodgers & Hammerstein,/media/downloads/SF_InHeights_Bway-r5966-2_1E.exe,/media/downloads/SF_InHeights_Bway-r5966-2_1E.zip,
Into The Woods,,Into The Woods,Music Theatre International,/media/downloads/SF_Woods-r5966-4_9E.exe,/media/downloads/SF_Woods-r5966-4_9E.zip,
Jekyll & Hyde,,Jekyll & Hyde,Music Theatre International,/media/downloads/SF_JekyllHyde-r5966-6_17E.exe,/media/downloads/SF_JekyllHyde-r5966-6_17E.zip,
Jesus Christ Superstar,Original Orchestration,Jesus Christ Superstar,Rodgers & Hammerstein,/media/downloads/SF_JCSuperstar-r5966-1_74E.exe,/media/downloads/SF_JCSuperstar-r5966-1_74E.zip,
